id,ccn,incident_date_time,time_spread,org_id,org_name,tipsoft_id,incident_type_id,incident_type_name,incident_type_pinnable,lng,lat,public_narrative,processing_level,address,description,agency_page_link
214875239,"13-2180590","2013-08-06T04:09:37Z",0,718,"Buffalo Police Department",0,103,"LARCENY/THEFT",true,-78.90307300000001,42.958138,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"200 Block ESSER AV","LARCENY/THEFT",
214875233,"13-2180446","2013-08-06T01:48:59Z",0,718,"Buffalo Police Department",0,149,"ASSAULT",true,-78.89917199999999,42.955103,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"ONTARIO ST & CHADDUCK AV","ASSAULT",
214874886,"13-2180108","2013-08-06T04:00:00Z",0,718,"Buffalo Police Department",0,98,"ROBBERY",true,-78.895009,42.959148,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"SKILLEN ST & ONTARIO ST","ROBBERY",
214875237,"13-2180526","2013-08-06T03:17:31Z",0,718,"Buffalo Police Department",0,100,"BURGLARY",true,-78.883796,42.957998,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"300 Block GROVE ST","BURGLARY",
214875255,"13-2181042","2013-08-06T10:45:00Z",0,718,"Buffalo Police Department",0,98,"ROBBERY",true,-78.850508,42.940053,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"300 Block PARKSIDE AV","ROBBERY",
219565986,"13-2240231","2013-08-06T01:00:00Z",0,718,"Buffalo Police Department",0,103,"LARCENY/THEFT",true,-78.833196,42.94429,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"2800 Block MAIN ST","LARCENY/THEFT",
214874900,"13-2180395","2013-08-06T12:00:00Z",0,718,"Buffalo Police Department",0,103,"LARCENY/THEFT",true,-78.829296,42.94032,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"200 Block E AMHERST ST","LARCENY/THEFT",
214875252,"13-2180965","2013-08-06T09:21:56Z",0,718,"Buffalo Police Department",0,98,"ROBBERY",true,-78.818899,42.946077,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"200 Block MINNESOTA AV","ROBBERY",
216839857,"13-2190252","2013-08-06T11:45:00Z",0,718,"Buffalo Police Department",0,98,"ROBBERY",true,-78.81282899999999,42.940931,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"400 Block BERKSHIRE AV","ROBBERY",
216839847,"13-2190194","2013-08-06T07:00:00Z",0,718,"Buffalo Police Department",0,103,"LARCENY/THEFT",true,-78.807104,42.948378,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"500 Block HIGHGATE AV","LARCENY/THEFT",
227047227,"13-2330675","2013-08-06T12:00:00Z",0,718,"Buffalo Police Department",0,103,"LARCENY/THEFT",true,-78.893727,42.927075,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"1 Block POOLEY PL","LARCENY/THEFT",
216839887,"13-2190944","2013-08-06T02:30:00Z",0,718,"Buffalo Police Department",0,103,"LARCENY/THEFT",true,-78.883585,42.922328,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"400 Block W DELAVAN AV","LARCENY/THEFT",
